line_no,image file,doc_no,type,date,place,shelfmark,names_int,names_comp,image no.
1200,,,,,,,"Rauch-Wernau, Rosa",,
1201,,,,,,,Eberle (Mlle),,
1202,,,,,,,Künzel,,
1203,,,,,,,Müller,,
1204,,,,,,,Herrlich,,
1205,,,,,,,Schwab,,
1206,,,,,,,Klette,,
1207,,,,,,,Brunko (Mlle),,
1208,pyr_201,130,Concert,18540101,"Luzern, Theater",BRb.27.2,"Sängerverein Harmonie, Luzern","Rossini, Gioachino",201
1209,,,,,,,"Blasmusikgesellschaft Frohsinn, Luzern","Becker, Valentin Eduard",
1210,,,,,,,,"Schumann, Robert",
1211,,,,,,,,"Flotow, Friedrich von",
1212,,,,,,,,"Kuntze, Carl",
1213,,,,,,,,"Lampart, G.",
1214,,,,,,,,"Gollmick, Carl",
1215,,,,,,,,"Lachner, Franz Paul",
1216,pyr_202,131,Concert,18540409,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Cherubini, Luigi",202
1217,,,,,,,"Caecilienverein, Luzern","Schnyder von Wartensee, Franz Xaver",
1218,,,,,,,,"Busch, J.",
1219,,,,,,,,"Thalberg, Sigismund",
1220,,,,,,,,"Spontini, Gaspare",
1221,,,,,,,,"Lachner, Franz Paul",
1222,,,,,,,,"Kreutzer, Conradin",
1223,,,,,,,,"Veit, Václav",
1224,,,,,,,,"Beethoven, Ludwig van",
1225,pyr_203,132,Concert,18541012,"Luzern, Theater",BRb.27.2,Crema,"Rossini, Gioachino",203
1226,pyr_204,133,Concert,18541119,"Luzern, Theater",BRb.27.2,"Sängerverein Harmonie, Luzern","Netzer, Josef",204
1227,,,,,,,"Blasmusikgesellschaft Frohsinn, Luzern","Häser, August Ferdinand",
1228,,,,,,,,"Abt, Franz",
1229,,,,,,,,"Otto, Julius",
1230,,,,,,,,"Lampart, Niklaus",
1231,,,,,,,,"Reissiger, Carl Gottlieb",
