"Chevalier de Saint-Georges"	"Saint-Georges, Joseph Bologne de"
"Joseph Boulogne, chevalier de Saint-Georges"	"Saint-Georges, Joseph Bologne de"
"Antonio Maria Gasparo Sacchini"	"Sacchini, Antonio Maria Gasparo"
"Sacchini, Antonio-Maria Gasparo"	"Sacchini, Antonio"
"Pierre P. de Sabouroff"	"Sabouroff, Pierre P. de"
"Rydin, A."	"Rydin, Alexandre"
"Rutini, G.M."	"Rutini, Giovanni Maria"
"Ruthardt, Ad."	"Ruthardt, Adolf"
"Ruthardt, Adolphe"	"Ruthardt, Adolf"
"Fiedrich Wilhelm Rust"	"Rust, Friedrich Wilhelm"
"Friedrich Wilhelm Rust"	"Rust, Friedrich Wilhelm"
"Walter Morse Rummel"	"Rummel, Walter Morse"
"Ruffo, V."	"Ruffo, Vincenzo"
"Ruegger, H"	"Ruegger, Henri"
"Ruegger, H."	"Ruegger, Henri"
"Ruegg, J."	"Ruegg, Jacques"
"Fenis-Neuenburg, Rudolph von "	"Rudolf, von Fenis-Neuenburg"
"Nicolaï Grigoriévitch Rubinstein"	"Rubinštejn, Nikolaj Grigor'evič"
"Nikolaï Grigoriévitch Rubinstein"	"Rubinštejn, Nikolaj Grigor'evič"
"Rubinstein, Nicolas"	"Rubinštejn, Nikolaj Grigor'evič"
"Anton Grigor'evič Rubinštejn"	"Rubinštejn, Anton Grigor'evič"
"Anton Grigor´evič Rubinštejn"	"Rubinštejn, Anton Grigor'evič"
"Rubinstein, A."	"Rubinštejn, Anton Grigor'evič"
"Rubinstein, Anton"	"Rubinštejn, Anton Grigor'evič"
"Rubisntein"	"Rubinstein"
