"Société de Zofingue"	"Zofingue, Genève"
"Ousenko, Roman"	"Oussenko, Roman"
"Ousenko, G."	"Ousenko, Galina"
"Oudshorn"	"Oudshoorn"
"Osorio, Raphaël"	"Osorio, Raphael"
"Osorio, Edouard"	"Osorio, Edward"
"D'orval (Mme)"	"Orval, d' (Mme)"
"Société L'Orphéon du Léman"	"Orphéon du Léman, Genève"
"Orchestre Universitaire"	"Orchestre universitaire, Genève"
"Orchestre symphonique"	"Orchestre symphonique de Genève"
"Orchestre symphonique de Genève"	"Orchestre symphonique de Genève"
"Orchestre Symphonique de Genève"	"Orchestre symphonique de Genève"
"Orchestre Saint-Pierre-Fusterie"	"Orchestre Saint-Pierre-Fusterie, Genève"
"Orchestre Romand"	"Orchestre Romand, Lausanne"
"L'Orchestre Piccolo"	"Orchestre Piccolo du Conservatoire de Lausanne"
"Orchestre Piccolo"	"Orchestre Piccolo du Conservatoire de Lausanne"
"
          Orchestre militaire du premier régiment badois n° 109 des grenadiers
          de la garde de Carlsruhe
        "	"Orchestre militaire du premier régiment badois n° 109 des grenadiers de la garde, Karlsruhe"
"Orchestre militaire du cinquième régiment badois"	"Orchestre militaire du cinquième régiment badois, Baden"
"Orchestre Lamoureux"	"Orchestre Lamoureux, Paris"
"Orchestre Karr"	"Orchestre Karr, Genève"
"Orchestre Kaim de Munich"	"Orchestre Kaim, München"
"Orchestre Foyer musical et littéraire"	"Orchestre Foyer musical et littéraire, Genève"
"Orchestre Finck"	"Orchestre Finck, Genève"
"Orchestre Estudiantina"	"Orchestre Estudiantina, Genève"
"Orchestre Éolien"	"Orchestre Éolien, Genève"
"Orchestre du Théâtre"	"Orchestre du Théâtre, Genève"
"Orchestre du théâtre"	"Orchestre du Théâtre, Genève"
"Orchestre du théâtre national de Prague"	"Orchestre du théâtre national, Praha"
"Orchestre du théâtre (Orchestre des concerts d'abonnement)"	"Orchestre du théâtre (Orchestre des concerts d'abonnement), Genève"
"Orchestre du Parc des Eaux-Vives"	"Orchestre du Parc des Eaux-Vives, Genève"
"Orchestre du nouveau théâtre"	"Orchestre du nouveau théâtre, Genève"
"Orchestre du Nord"	"Orchestre du Nord, Genève"
"Orchestre du Kursaal"	"Orchestre du Kursaal, Genève"
"Orchestre du Grand théâtre"	"Orchestre du Grand Théâtre, Genève"
"Orchestre du Grand Théâtre"	"Orchestre du Grand Théâtre, Genève"
"L'Orchestre du Conservatoire de Lausanne"	"Orchestre du Conservatoire de Lausanne"
"Orchestre du Conservatoire"	"Orchestre du Conservatoire de Lausanne"
"Orchestre des Rencontres Musicales"	"Orchestre des Rencontres Musicales, Lausanne"
