"BMU DG4 F001355"	"bmu_dg4_f001355"	"1878-1879"	"1879.07.16"	"4 p. ; 22 cm"	"Genève, Hôtel national"	"Soirée musicale donnée par Miss Alice Sydney Burvett"	"Beethoven, Ludwig van {RISM:11035} ; Gottschalk, Louis Moreau {RISM:80113} ; Ritter ; Chopin, Fryderyk Franciszek {RISM:51160} ; Ravina ; Mendelssohn Bartholdy, Felix {RISM:88790} ; Kowalski"	"Burvett, Alice Sydney"		"Date présumée"
"BMU DG4 F001372"	"bmu_dg4_f001372"	"1879-1880"	"1879.12.11"	"1 p. ; 24 cm"	"Genève, Salle de l'Athénée"	"Matinée musicale donnée par Mme Niestlé-Lenoir et M . John Aubert"	"Bériot, Charles-Auguste de {RISM:13658} ; Auber, Daniel-François-Esprit {RISM:38000} ; Ketten, L. ; Campana ; Weber, Carl Maria von {RISM:117485} ; Halévy, Fromental {RISM:40914} ; Prume ; Mozart, Wolfgang Amadeus {RISM:115324} ; Verdi, Giuseppe {RISM:137994} "	"Niestlé-Lenoir (Mme) ; Aubert, John ; Malignon ; Malignon (Mme) ; V. (Mme) "		"Date présumée"
"BMU DG3-1 F001563"	"bmu_dg3_1_f001563"	"1879-1880"	"1880.01.24"	"1 p. ; 28 cm"	"Genève, Salle de la Réformation"	"Concert par le violoniste et compositeur Huerta"	"Adam, Adolphe ; Verdi, Giuseppe {RISM:137994} ; Maillard, Louis ; Huerta"	"Huerta, P. de"		"Date présumée"
"BMU DG4 F001384"	"bmu_dg4_f001384"	"1879-1880"	"1880.03.14"	"1 p. ; 23 cm"	"Genève, Bâtiment électoral"	"Grand concert"	"Bleger ; Monestier ; Verdi, Giuseppe {RISM:137994} ; Saintis ; Busch"	"La Cécilienne ; Franco-Suisse"		"Date présumée"
"BMU DG3-1 F001566"	"bmu_dg3_1_f001566"	"1879-1880"	"1880.03.18"	"1 p. ; 29 cm"	"Genève, Salle de la Réformation"	"2me et dernier concert Huerta, violoniste et compositeur"	"Huerta ; Krawski ; Rode"	"Huerta"		"Date présumée"
"BMU DG4 F001392"	"bmu_dg4_f001392"	"1879-1880"	"1880.04.29"	"1 p. ; 24 cm"	"Genève, Salle de l'Athénée"	"Matinée musicale donné par M. Léopold Bruzzèse"	"Bruzzèse, Léopold ; Mozart, Wolfgang Amadeus {RISM:115324} ; Cavallini"	"Bruzzèse, Léopold ; Senger, Franz Ludwig Hugo von {RISM:30015297} ; Kolster ; Richter ; Gillet ; Gozzelino ; Blanchereau ; Cantarella ; Bibès ; Dégoutte ; Kling ; Abel ; Colombino"		"Date présumée"
"BMU DG3-2 F000696"	"bmu_dg3_2_f000696"	"1880-1881"	"1881.03.17"	"1 p. ; 21 cm"	"Genève, Cathédrale de Saint-Pierre"	"Séance d'orgues donnée par Camille Saint-Saëns"	"Marcel, Et. ; Saint-Saëns, Camille {RISM:76734} ; Bach, Johann Sebastian {RISM:2539}"	"Saint-Saëns, Camille {RISM:76734}"		"Date présumée"
"BMU DG3-1 F001569"	"bmu_dg3_1_f001569"	"1880-1881"	"1881.03.21"	"1 p. ; 22 cm"	"Genève, Salle de la Réformation"	"Concert donné par Camille Saint-Saëns"	"Gurtner, Anton {RISM:30107890} ; Saint-Saëns, Camille {RISM:76734} ; Liszt, Franz {RISM:107196} ; Beethoven, Ludwig van ; Bach, Johann Sebastian ; Rameau, Jean-Philippe ; Chopin, Fryderyk Franciszek ; Sellenick, Adolphe ; Gounod, Charles-François"	"Corps de musique de Landwehr ; Saint-Saëns, Camille {RISM:76734}"		"Date présumée"
"BMU DG4 F001418"	"bmu_dg4_f001418"	"1880-1881"	"1881.05.06"	"1 p. ; 31 cm"	"Genève, Coulouvrenière (Théâtre des Bouffes parisiens)"	"Les cloches de Corneville"	"Planquette, Robert {RISM:390912} ; Clairville {RISM:30077912} ; Gabet, Ch. "	"Théâtre des Bouffes parisiens ; Cadet-Grégoire (Mme) ; Sichel (Mme) ; Grégoire, Baptiste ; Grégoire, Joseph ; Duchaussoy ; Grégoire, Victor ; Grégoire, Alphonse ; Estiot ; Roche ; Henri ; Desjardins (Mme) ; Spina (Mme) ; Ariani (Mme) ; Théo (Mme) ; Eva ; Guérini (Mme) ; Polydor (Mme) "		"Date présumée"
"BMU DG4 F001419"	"bmu_dg4_f001419"	"1880-1881"	"1881.05.09"	"1 p. ; 31 cm"	"Genève, Coulouvrenière (Théâtre des Bouffes parisiens)"	"La cantinière"	"Planquette, Robert {RISM:390912} ; Burani, Paul ; Ribeyre, Félix"	"Théâtre des Bouffes parisiens ; Cadet-Grégoire (Mme) ; Grégoire, Baptiste ; Grégoire, Joseph ; Duchaussoy ; Grégoire, Victor ; Grégoire, Alphonse ; Estiot ; Roche ; Homberg ; Bonnet ; Florentin ; Fernand ; Desjardins, Blanche ; Spina (Mme) ; Ariani (Mme) ; Théo (Mme) ; Eva ; Guérini (Mme) ; Polydor (Mme) ; Florentin (Mme) ; Nina ; Allemand"		"Date présumée"
