"line_no","images","doc_no","type","date","place","#no longer used#","names_int","names_comp"
8299,"CH_BM_prg-3230",,,,,,"Farnell, Amy",
8300,"CH_BM_prg-3231",,,,,,"Menconi, Florencia",
8301,"CH_BM_prg-3232",,,,,,"Ross, Tessa",
8302,"CH_BM_prg-3233",,,,,,"Striegel, Mirjam",
8303,"CH_BM_prg-3234",,,,,,"Haun de Oliveira, Ivo",
8304,"CH_BM_prg-3235",,,,,,"Leitão Pedro, Ricardo",
8305,"CH_BM_prg-3236",,,,,,"Mentes, Dániel",
8306,"CH_BM_prg-3237",,,,,,"Renaud, Pascal",
8307,"CH_BM_prg-3238",,,,,,"Boyle, Philip Edvard",
8308,"CH_BM_prg-3239",,,,,,"Cugelj, Tin",
8309,"CH_BM_prg-3240",,,,,,"Karagöz, Ozan",
8310,"CH_BM_prg-3241",,,,,,"Lawrence, Jacob",
8311,"CH_BM_prg-3242",,,,,,"Paulin, Loïc",
8312,"CH_BM_prg-3243",,,,,,"Veiteberg, Andres",
8313,"CH_BM_prg-3244",,,,,,"Faust, Roland",
8314,"CH_BM_prg-3245",,,,,,"Garzón Arredondo, Santiago",
8315,"CH_BM_prg-3246",,,,,,"Martling, John",
8316,"CH_BM_prg-3247",,,,,,"Quinderé, Breno",
8317,"CH_BM_prg-3248",,,,,,"Szántó, Csongor",
8318,"CH_BM_prg-3249",,,,,,"Waas, Anian",
8319,"CH_BM_prg-3250",,,,,,"Boyer, Ingrid",
8320,"CH_BM_prg-3251",,,,,,"Fukai, Akine",
8321,"CH_BM_prg-3252",,,,,,"Geist, Susanne",
8322,"CH_BM_prg-3253",,,,,,"Glock, Helen",
8323,"CH_BM_prg-3254",,,,,,"Lee, Fiona Kizzie",
8324,"CH_BM_prg-3255",,,,,,"Müller, Noemi",
8325,"CH_BM_prg-3256",,,,,,"Schneider, Charlotte",
8326,"CH_BM_prg-3257",,,,,,"Schwartz, Tabea",
8327,"CH_BM_prg-3258",,,,,,"Smith, Bork-Frithjof",
8328,"CH_BM_prg-3259",,,,,,"Binenfeld, Sonia",
8329,"CH_BM_prg-3260",,,,,,"Bourdat, Kevin",
8330,,,,,,,"Gómez Lozano, Alejandro",
8331,,,,,,,"Rusó, Rebeka",
8332,,,,,,,"Tanasini, Giulio",
8333,,,,,,,"Frank, Lukas",
8334,,,,,,,"Sepúlveda, Carlos Federico",
8335,,,,,,,"Steinmann, Conrad",
8336,,,,,,,"Türk, Gerd",
8337,"CH_BM_prg-3261","482","Concert","20170926","Basel, Peterskirche",,"Lutzenberger, Sabine","Lantins, Arnold de"
8338,"CH_BM_prg-3262",,,,,,"Miller, Tobie","Lantins, Hugo de"
8339,"CH_BM_prg-3263",,,,,,"Fröhlich, Bernd Oliver","Johannes de Lymburgia"
8340,"CH_BM_prg-3264",,,,,,"Schulz, Achim","Anonymus"
8341,"CH_BM_prg-3265",,,,,,"Piganiol, Claire",
8342,"CH_BM_prg-3266",,,,,,"Rumsey, Elizabeth",
8343,"CH_BM_prg-3267",,,,,,"Lewon, Marc",
8344,"CH_BM_prg-3268",,,,,,"Romain, Baptiste",
8345,"CH_BM_prg-3269",,,,,,"Le Miroir de Musique",
8346,"CH_BM_prg-3270",,,,,,,
8347,"CH_BM_prg-3271",,,,,,,
8348,"CH_BM_prg-3272",,,,,,,
8349,"CH_BM_prg-3273",,,,,,,
8350,"CH_BM_prg-3274",,,,,,,
8351,"CH_BM_prg-3275",,,,,,,
8352,"CH_BM_prg-3276",,,,,,,
8353,"CH_BM_prg-3277",,,,,,,
8354,"CH_BM_prg-3278",,,,,,,
8355,"CH_BM_prg-3279",,,,,,,
8356,"CH_BM_prg-3280",,,,,,,
8357,"CH_BM_prg-3281",,,,,,,
8358,"CH_BM_prg-3282",,,,,,,
8359,"CH_BM_prg-3283",,,,,,,
8360,"CH_BM_prg-3284",,,,,,,
8361,"CH_BM_prg-3285",,,,,,,
8362,"CH_BM_prg-3286",,,,,,,
8363,"CH_BM_prg-3287","483","Concert","20171116","Basel, Predigerkirche",,"Bovi, Patrizia","Niccolò Piffaro"
8364,"CH_BM_prg-3288",,,,,,"Montilla-Acurero, Andrés","Bartolucci, Ruffino"
8365,"CH_BM_prg-3289",,,,,,"Sorini, Simone","Cara, Marchetto"
8366,"CH_BM_prg-3290",,,,,,"Sorini, Enea","Razzi, Serafino"
8367,"CH_BM_prg-3291",,,,,,"Degli Esposti, Goffredo","Anonymus"
8368,"CH_BM_prg-3292",,,,,,"Russo, Gabriele","Compère, Loyset"
8369,"CH_BM_prg-3293",,,,,,"Art, Masako","Cimello, Giovanthomaso"
8370,"CH_BM_prg-3294",,,,,,"La Marca, Gianni","Francesco Patavino"
8371,"CH_BM_prg-3295",,,,,,"Miracle, Gabriele","Baldano, Giovanni Lorenzo"
8372,"CH_BM_prg-3296",,,,,,"Young, Crawford","Josquin des Prez"
8373,"CH_BM_prg-3297",,,,,,"Esnemble Micrologus","Fogliano, Lodovico"
8374,"CH_BM_prg-3298",,,,,,,
8375,"CH_BM_prg-3299",,,,,,,
8376,"CH_BM_prg-3300",,,,,,,
8377,"CH_BM_prg-3301",,,,,,,
8378,"CH_BM_prg-3302",,,,,,,
8379,"CH_BM_prg-3303",,,,,,,
8380,"CH_BM_prg-3304",,,,,,,
8381,"CH_BM_prg-3305",,,,,,,
8382,"CH_BM_prg-3306",,,,,,,
8383,"CH_BM_prg-3307",,,,,,,
8384,"CH_BM_prg-3308",,,,,,,
8385,"CH_BM_prg-3309",,,,,,,
8386,"CH_BM_prg-3310",,,,,,,
8387,"CH_BM_prg-3311",,,,,,,
8388,"CH_BM_prg-3312",,,,,,,
8389,"CH_BM_prg-3313",,,,,,,
8390,"CH_BM_prg-3314",,,,,,,
8391,"CH_BM_prg-3315",,,,,,,
8392,"CH_BM_prg-3316",,,,,,,
8393,"CH_BM_prg-3317",,,,,,,
8394,"CH_BM_prg-3318",,,,,,,
8395,"CH_BM_prg-3319",,,,,,,
8396,"CH_BM_prg-3320",,,,,,,
8397,"CH_BM_prg-3321",,,,,,,
8398,"CH_BM_prg-3322",,,,,,,
8399,"CH_BM_prg-3323",,,,,,,
8400,"CH_BM_prg-3324",,,,,,,
8401,"CH_BM_prg-3325",,,,,,,
8402,"CH_BM_prg-3326",,,,,,,
8403,"CH_BM_prg-3327","484","Concert","20180306","Basel, Leonhardskirche",,"Mauillon, Marc","Monteverdi, Claudio"
8404,"CH_BM_prg-3328",,,,,,"Mauillon, Angélique","Merula, Tarquinio"
8405,"CH_BM_prg-3329",,,,,,"Heumann, Friederike","Luzzaschi, Luzzasco"
8406,"CH_BM_prg-3330",,,,,,,"Peri, Jacopo"
8407,"CH_BM_prg-3331",,,,,,,"Selma y Salaverde, Bartolomé de"
8408,"CH_BM_prg-3332",,,,,,,"Kapsperger, Giovanni Girolamo"
8409,"CH_BM_prg-3333",,,,,,,"Ferrari, Benedetto"
8410,"CH_BM_prg-3334",,,,,,,"Moulinié, Étienne"
8411,"CH_BM_prg-3335",,,,,,,"Le Camus, Sébastien"
8412,"CH_BM_prg-3336",,,,,,,"Dufaut, François"
8413,"CH_BM_prg-3337",,,,,,,"Sainte-Colombe, Jean de"
8414,"CH_BM_prg-3338",,,,,,,
8415,"CH_BM_prg-3339",,,,,,,
8416,"CH_BM_prg-3340",,,,,,,
8417,"CH_BM_prg-3341",,,,,,,
8418,"CH_BM_prg-3342",,,,,,,
8419,"CH_BM_prg-3343",,,,,,,
8420,"CH_BM_prg-3344",,,,,,,
8421,"CH_BM_prg-3345",,,,,,,
8422,"CH_BM_prg-3346",,,,,,,
8423,"CH_BM_prg-3347",,,,,,,
8424,"CH_BM_prg-3348",,,,,,,
8425,"CH_BM_prg-3349",,,,,,,
8426,"CH_BM_prg-3350",,,,,,,
8427,"CH_BM_prg-3351",,,,,,,
8428,"CH_BM_prg-3352",,,,,,,
8429,"CH_BM_prg-3353",,,,,,,
8430,"CH_BM_prg-3354",,,,,,,
8431,"CH_BM_prg-3355",,,,,,,
8432,"CH_BM_prg-3356",,,,,,,
8433,"CH_BM_prg-3357",,,,,,,
8434,"CH_BM_prg-3358",,,,,,,
8435,"CH_BM_prg-3359",,,,,,,
8436,"CH_BM_prg-3360",,,,,,,
8437,"CH_BM_prg-3361","485","Concert","20180418","Basel, Martinskirche",,"Nikitassova, Plamena","Anonymus"
8438,"CH_BM_prg-3362",,,,,,"Behr, Julian","Litzkau, Heinrich"
8439,"CH_BM_prg-3363",,,,,,"Müller, Matthias","Döbel, Heinrich"
8440,"CH_BM_prg-3364",,,,,,"Bötticher, Jörg-Andreas","Kerll, Johann Caspar"
8441,"CH_BM_prg-3365",,,,,,,"Walther, Johann Jakob"
8442,"CH_BM_prg-3366",,,,,,,"Biber, Heinrich Ignaz Franz von"
8443,"CH_BM_prg-3367",,,,,,,"Muffat, Georg"
8444,"CH_BM_prg-3368",,,,,,,
8445,"CH_BM_prg-3369",,,,,,,
8446,"CH_BM_prg-3370",,,,,,,
8447,"CH_BM_prg-3371",,,,,,,
8448,"CH_BM_prg-3372",,,,,,,
8449,"CH_BM_prg-3373",,,,,,,
8450,"CH_BM_prg-3374",,,,,,,
8451,"CH_BM_prg-3375",,,,,,,
8452,"CH_BM_prg-3376",,,,,,,
8453,"CH_BM_prg-3377",,,,,,,
8454,"CH_BM_prg-3378",,,,,,,
8455,"CH_BM_prg-3379",,,,,,,
8456,"CH_BM_prg-3380",,,,,,,
8457,"CH_BM_prg-3381",,,,,,,
8458,"CH_BM_prg-3382",,,,,,,
8459,"CH_BM_prg-3383",,,,,,,
8460,"CH_BM_prg-3384",,,,,,,
8461,"CH_BM_prg-3385",,,,,,,
8462,"CH_BM_prg-3386",,,,,,,
